Integer,Varchar,Varchar,Varchar,Varchar,Integer,Integer
222,YP-GFTCRT0K7V2,No,ROY,MORRIS,10035,816134028
223,YP-GFTCRT303MJ,No,WILLIAM,ROBINSON,10031,960234152
224,YP-GFTCRT4GERV,No,JEREMY,HUGHES,10078,416765238
225,YP-GFTCRT4LKCD,No,LOUIS,BROOKS,10075,296197324
226,YP-GFTCRT9BVR6,No,LOUIS,PRICE,10086,867713288
227,YP-GFTCRTBATQ9,No,BOBBY,TURNER,10093,892916356
228,YP-GFTCRTCNE4Y,No,NICHOLAS,HILL,10094,334933215
229,YP-GFTCRTDPH0H,No,ROY,MARTIN,10043,973628596
230,YP-GFTCRTTM7YC,No,BRANDON,SCOTT,10015,897390604
231,YP-GFTCRTYM7L2,No,GARY,REYES,10064,237145722
232,YP-GFTCRTYTBPV,No,ALBERT,EVANS,10022,761818985
233,YP-GFTCRT0K7V2,No,ROY,HERNANDEZ,10048,889353872
234,YP-GFTCRT303MJ,No,LOUIS,BELL,10070,863072834
235,YP-GFTCRT4GERV,No,STEVE,MILLER,10052,402474570
236,YP-GFTCRT4LKCD,No,HAROLD,WHITE,10078,950563282
237,YP-GFTCRT9BVR6,No,GARY,MYERS,10088,854503222
238,YP-GFTCRTBATQ9,No,MICHAEL,STEWART,10073,692508948
239,YP-GFTCRTCNE4Y,No,ERNEST,KELLY,10099,913921104
240,YP-GFTCRTDPH0H,No,VICTOR,HARRIS,10017,292684990
241,YP-GFTCRTTM7YC,No,DENNIS,HERNANDEZ,10090,975150849
242,YP-GFTCRTYM7L2,No,SCOTT,BAKER,10040,837528171
243,YP-GFTCRTYTBPV,No,JUAN,MARTINEZ,10081,957196455
244,YP-GFTCRTYTBPV,No,JUSTIN,PEREZ,10042,987249866
245,YP-GFTCRT0K7V2,No,BRANDON,COX,10075,412343362
246,YP-GFTCRT303MJ,No,JOE,ANDERSON,10096,771426664
247,YP-GFTCRT4GERV,No,JOSEPH,TORRES,10018,972270113
248,YP-GFTCRT4LKCD,No,KEVIN,TORRES,10070,656771007
249,YP-GFTCRT9BVR6,No,DAVID,ROGERS,10045,687574707
250,YP-GFTCRTBATQ9,No,JOE,COLLINS,10075,968683180
251,YP-GFTCRTCNE4Y,No,LARRY,WALKER,10066,300408377
252,YP-GFTCRTDPH0H,No,RICHARD,SCOTT,10092,642144817
253,YP-GFTCRTTM7YC,No,DENNIS,LONG,10074,995704519
254,YP-GFTCRTYM7L2,No,LARRY,REYES,10066,971247148
255,YP-GFTCRTYTBPV,No,STEVEN,CARTER,10076,990013087
256,YP-GFTCRT0K7V2,No,KEITH,BROWN,10096,849881474
257,YP-GFTCRT303MJ,No,JOSHUA,HOWARD,10046,637545525
258,YP-GFTCRT4GERV,No,NICHOLAS,COOK,10081,886304901
259,YP-GFTCRT4LKCD,No,FRED,BAKER,10087,994635324
260,YP-GFTCRT9BVR6,No,THOMAS,LEWIS,10088,887912456
261,YP-GFTCRTBATQ9,No,PETER,SANCHEZ,10040,634661528
262,YP-GFTCRTCNE4Y,No,LARRY,MARTIN,10056,823777131
263,YP-GFTCRTDPH0H,No,BRIAN,REYES,10078,961803548
264,YP-GFTCRTTM7YC,No,BENJAMIN,PEREZ,10047,501230503
265,YP-GFTCRTYM7L2,No,GEORGE,FLORES,10017,895468915
266,YP-GFTCRTYTBPV,No,NICHOLAS,ANDERSON,10053,806170705
267,YP-GFTCRT0K7V2,No,MARTIN,BAKER,10032,994387858
268,YP-GFTCRT303MJ,No,FRANK,LEWIS,10035,998929331
269,YP-GFTCRT4GERV,No,CARL,EDWARDS,10034,793700822
270,YP-GFTCRT4LKCD,No,GARY,JOHNSON,10011,912793727
271,YP-GFTCRT9BVR6,No,JASON,BROOKS,10032,458931025
272,YP-GFTCRTBATQ9,No,DONALD,DIAZ,10063,741203046
273,YP-GFTCRTCNE4Y,No,PHILLIP,COOK,10090,269977295
274,YP-GFTCRTDPH0H,No,EDWARD,SMITH,10046,910093512
275,YP-GFTCRTTM7YC,No,BENJAMIN,HUGHES,10080,548379851
276,YP-GFTCRTYM7L2,No,CARL,MURPHY,10026,444421876
277,YP-GFTCRTYTBPV,No,FRED,ANDERSON,10082,932600994
278,YP-GFTCRT0K7V2,No,BENJAMIN,BROOKS,10052,928150747
279,YP-GFTCRT303MJ,No,PAUL,STEWART,10071,795710371
280,YP-GFTCRT4GERV,No,ARTHUR,MITCHELL,10046,947921801
281,YP-GFTCRT4LKCD,No,BILLY,LEWIS,10097,987197761
282,YP-GFTCRT9BVR6,No,WAYNE,JONES,10010,418950189
283,YP-GFTCRTBATQ9,No,ANTHONY,GOMEZ,10034,958162302
284,YP-GFTCRTDPH0H,No,PAUL,DIAZ,10092,951897713
285,YP-GFTCRTTM7YC,No,JUAN,WARD,10065,969094765
286,YP-GFTCRTYM7L2,No,TERRY,BROOKS,10089,200299403
287,YP-GFTCRTYTBPV,No,RAYMOND,REED,10029,810864662
288,YP-GFTCRT0K7V2,No,MICHAEL,TURNER,10091,934488315
289,YP-GFTCRT303MJ,No,JOHN,ROBINSON,10021,916986283
290,YP-GFTCRT4GERV,No,MATTHEW,MARTIN,10022,875526676
291,YP-GFTCRT4LKCD,No,WILLIE,JONES,10039,965882182
292,YP-GFTCRT9BVR6,No,EUGENE,CRUZ,10023,873365561
293,YP-GFTCRTBATQ9,No,KEITH,MOORE,10043,877983590
